Day #,Day/Month,Temp
139,19-May,11.181
140,20-May,11.241
141,21-May,11.301
142,22-May,11.361
143,23-May,11.421
144,24-May,11.48
145,25-May,11.54
146,26-May,11.6
147,27-May,11.659
148,28-May,11.718
149,29-May,11.777
150,30-May,11.835
151,31-May,11.894
152,1-Jun,11.952
153,2-Jun,12.01
154,3-Jun,12.067
155,4-Jun,12.124
156,5-Jun,12.181
157,6-Jun,12.238
158,7-Jun,12.294
159,8-Jun,12.35
160,9-Jun,12.405
161,10-Jun,12.46
162,11-Jun,12.515
163,12-Jun,12.569
164,13-Jun,12.622
165,14-Jun,12.676
166,15-Jun,12.728
167,16-Jun,12.78
168,17-Jun,12.832
169,18-Jun,12.883
170,19-Jun,12.934
171,20-Jun,12.983
172,21-Jun,13.033
173,22-Jun,13.082
174,23-Jun,13.13
175,24-Jun,13.177
176,25-Jun,13.224
177,26-Jun,13.27
178,27-Jun,13.316
179,28-Jun,13.361
180,29-Jun,13.405
181,30-Jun,13.448
182,1-Jul,13.491
183,2-Jul,13.533
184,3-Jul,13.574
185,4-Jul,13.614
186,5-Jul,13.654
187,6-Jul,13.693
188,7-Jul,13.731
189,8-Jul,13.768
190,9-Jul,13.805
191,10-Jul,13.84
192,11-Jul,13.875
193,12-Jul,13.909
194,13-Jul,13.942
195,14-Jul,13.974
196,15-Jul,14.006
197,16-Jul,14.036
198,17-Jul,14.066
199,18-Jul,14.094
200,19-Jul,14.122
201,20-Jul,14.149
202,21-Jul,14.175
203,22-Jul,14.199
204,23-Jul,14.223
205,24-Jul,14.246
206,25-Jul,14.268
207,26-Jul,14.289
208,27-Jul,14.31
209,28-Jul,14.329
210,29-Jul,14.347
211,30-Jul,14.364
212,31-Jul,14.38
213,1-Aug,14.395
214,2-Aug,14.409
215,3-Aug,14.422
216,4-Aug,14.435
217,5-Aug,14.446
218,6-Aug,14.456
219,7-Aug,14.465
220,8-Aug,14.473
221,9-Aug,14.48
222,10-Aug,14.486
223,11-Aug,14.491
224,12-Aug,14.495
225,13-Aug,14.497
226,14-Aug,14.499
227,15-Aug,14.5
228,16-Aug,14.5
229,17-Aug,14.498
230,18-Aug,14.496
231,19-Aug,14.493
232,20-Aug,14.488
233,21-Aug,14.483
234,22-Aug,14.476
235,23-Aug,14.469
236,24-Aug,14.46
237,25-Aug,14.451
238,26-Aug,14.44
239,27-Aug,14.429
240,28-Aug,14.416
241,29-Aug,14.402
242,30-Aug,14.388
243,31-Aug,14.372
244,1-Sep,14.356
245,2-Sep,14.338
246,3-Sep,14.319
247,4-Sep,14.3
248,5-Sep,14.279
249,6-Sep,14.258
250,7-Sep,14.235
251,8-Sep,14.212
252,9-Sep,14.187
253,10-Sep,14.162
254,11-Sep,14.135
255,12-Sep,14.108
256,13-Sep,14.08
257,14-Sep,14.051
258,15-Sep,14.021
259,16-Sep,13.99
260,17-Sep,13.958
261,18-Sep,13.926
262,19-Sep,13.892
263,20-Sep,13.858
264,21-Sep,13.823
265,22-Sep,13.787
266,23-Sep,13.75
267,24-Sep,13.712
268,25-Sep,13.674
269,26-Sep,13.634
270,27-Sep,13.594
271,28-Sep,13.553
272,29-Sep,13.512
273,30-Sep,13.47
274,1-Oct,13.426
275,2-Oct,13.383
276,3-Oct,13.338
277,4-Oct,13.293
278,5-Oct,13.247
279,6-Oct,13.201
280,7-Oct,13.153
281,8-Oct,13.106
282,9-Oct,13.057
283,10-Oct,13.008
284,11-Oct,12.959
285,12-Oct,12.908
286,13-Oct,12.858
287,14-Oct,12.806
288,15-Oct,12.754
289,16-Oct,12.702
290,17-Oct,12.649
291,18-Oct,12.596
292,19-Oct,12.542
293,20-Oct,12.488
294,21-Oct,12.433
295,22-Oct,12.378
296,23-Oct,12.322
297,24-Oct,12.266
298,25-Oct,12.21
299,26-Oct,12.153
300,27-Oct,12.096
301,28-Oct,12.038
302,29-Oct,11.981
303,30-Oct,11.923
304,31-Oct,11.865
305,1-Nov,11.806
306,2-Nov,11.747
307,3-Nov,11.688
308,4-Nov,11.629
309,5-Nov,11.57
310,6-Nov,11.51
311,7-Nov,11.451
312,8-Nov,11.391
313,9-Nov,11.331
314,10-Nov,11.271
315,11-Nov,11.211
316,12-Nov,11.151
317,13-Nov,11.09
318,14-Nov,11.03
319,15-Nov,10.97
320,16-Nov,10.91
321,17-Nov,10.849
322,18-Nov,10.789
323,19-Nov,10.729
324,20-Nov,10.669
325,21-Nov,10.609
326,22-Nov,10.549
327,23-Nov,10.49
328,24-Nov,10.43
329,25-Nov,10.371
330,26-Nov,10.312
331,27-Nov,10.253
332,28-Nov,10.194
333,29-Nov,10.135
334,30-Nov,10.077
335,1-Dec,10.019
336,2-Dec,9.962
337,3-Dec,9.904
338,4-Dec,9.847
339,5-Dec,9.79
340,6-Dec,9.734
341,7-Dec,9.678
342,8-Dec,9.622
343,9-Dec,9.567
344,10-Dec,9.512
345,11-Dec,9.458
346,12-Dec,9.404
347,13-Dec,9.351
348,14-Dec,9.298
349,15-Dec,9.246
350,16-Dec,9.194
351,17-Dec,9.142
352,18-Dec,9.092
353,19-Dec,9.041
354,20-Dec,8.992
355,21-Dec,8.943
356,22-Dec,8.894
357,23-Dec,8.847
358,24-Dec,8.799
359,25-Dec,8.753
360,26-Dec,8.707
361,27-Dec,8.662
362,28-Dec,8.617
363,29-Dec,8.574
364,30-Dec,8.53
365,31-Dec,8.488
